[2026-02-16T18:15:09.688Z] AUTH FAILED: No token or Bearer header
[2026-02-16T18:15:09.781Z] AUTH FAILED: No token or Bearer header
[2026-02-16T18:15:11.926Z] AUTH FAILED: No token or Bearer header
[2026-02-16T18:17:06.572Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-16T18:17:06.581Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:17:06.590Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:17:13.487Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-16T18:17:13.489Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:17:13.514Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:17:23.506Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-16T18:17:23.508Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:17:23.587Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:18:14.002Z] AUTH SUCCESS: Role: admin | Path: /api/inventory
[2026-02-16T18:18:16.942Z] AUTH SUCCESS: Role: admin | Path: /api/inventory
[2026-02-16T18:18:18.815Z] AUTH SUCCESS: Role: admin | Path: /api/inventory
[2026-02-16T18:18:19.086Z] AUTH SUCCESS: Role: admin | Path: /api/inventory
[2026-02-16T18:20:21.912Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-16T18:24:11.556Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:24:11.645Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:24:46.965Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-16T18:24:46.967Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:24:46.970Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:24:46.989Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:24:46.993Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-16T18:24:46.995Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:06.903Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/699360c0b38049a126b8b76f
[2026-02-16T18:25:06.926Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:06.928Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:19.058Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/699360c0b38049a126b8b770
[2026-02-16T18:25:19.076Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:19.077Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:27.137Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/699360c0b38049a126b8b771
[2026-02-16T18:25:27.154Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:27.156Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:35.153Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/699360c0b38049a126b8b772
[2026-02-16T18:25:35.170Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:35.171Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:40.968Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/699360c0b38049a126b8b76e
[2026-02-16T18:25:40.985Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:40.986Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:48.974Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:25:48.977Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:25:48.983Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:25:48.986Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:25:51.604Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:51.606Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:51.613Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:51.614Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:53.221Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:25:53.226Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:25:53.230Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:25:53.233Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:25:56.350Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:56.357Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:56.361Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:56.364Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:27:45.552Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:27:45.630Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:27:45.681Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:27:45.709Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:07.121Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:07.123Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:07.129Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:07.132Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:15.552Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/69936197e9c73c0eae887cb9
[2026-02-16T18:28:15.568Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:15.569Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
